total_accuracy.mean,total_accuracy.std,acc_per_class.Not_Water.mean,acc_per_class.Not_Water.std,acc_per_class.Open_Surface_Water.mean,acc_per_class.Open_Surface_Water.std,acc_per_class.Partial_Surface_Water.mean,acc_per_class.Partial_Surface_Water.std,confusion_matrix.Not_Water_OPERA_DSWx.Not_Water_OPERA_Validation.mean,confusion_matrix.Not_Water_OPERA_DSWx.Not_Water_OPERA_Validation.std,confusion_matrix.Not_Water_OPERA_DSWx.Open_Surface_Water_OPERA_Validation.mean,confusion_matrix.Not_Water_OPERA_DSWx.Open_Surface_Water_OPERA_Validation.std,confusion_matrix.Not_Water_OPERA_DSWx.Partial_Surface_Water_OPERA_Validation.mean,confusion_matrix.Not_Water_OPERA_DSWx.Partial_Surface_Water_OPERA_Validation.std,confusion_matrix.Open_Surface_Water_OPERA_DSWx.Not_Water_OPERA_Validation.mean,confusion_matrix.Open_Surface_Water_OPERA_DSWx.Not_Water_OPERA_Validation.std,confusion_matrix.Open_Surface_Water_OPERA_DSWx.Open_Surface_Water_OPERA_Validation.mean,confusion_matrix.Open_Surface_Water_OPERA_DSWx.Open_Surface_Water_OPERA_Validation.std,confusion_matrix.Open_Surface_Water_OPERA_DSWx.Partial_Surface_Water_OPERA_Validation.mean,confusion_matrix.Open_Surface_Water_OPERA_DSWx.Partial_Surface_Water_OPERA_Validation.std,confusion_matrix.Partial_Surface_Water_OPERA_DSWx.Not_Water_OPERA_Validation.mean,confusion_matrix.Partial_Surface_Water_OPERA_DSWx.Not_Water_OPERA_Validation.std,confusion_matrix.Partial_Surface_Water_OPERA_DSWx.Open_Surface_Water_OPERA_Validation.mean,confusion_matrix.Partial_Surface_Water_OPERA_DSWx.Open_Surface_Water_OPERA_Validation.std,confusion_matrix.Partial_Surface_Water_OPERA_DSWx.Partial_Surface_Water_OPERA_Validation.mean,confusion_matrix.Partial_Surface_Water_OPERA_DSWx.Partial_Surface_Water_OPERA_Validation.std,precision.Not_Water.mean,precision.Not_Water.std,precision.Open_Surface_Water.mean,precision.Open_Surface_Water.std,precision.Partial_Surface_Water.mean,precision.Partial_Surface_Water.std,recall.Not_Water.mean,recall.Not_Water.std,recall.Open_Surface_Water.mean,recall.Open_Surface_Water.std,recall.Partial_Surface_Water.mean,recall.Partial_Surface_Water.std,f1_per_class.Not_Water.mean,f1_per_class.Not_Water.std,f1_per_class.Open_Surface_Water.mean,f1_per_class.Open_Surface_Water.std,f1_per_class.Partial_Surface_Water.mean,f1_per_class.Partial_Surface_Water.std,supp_per_class.Not_Water.mean,supp_per_class.Not_Water.std,supp_per_class.Open_Surface_Water.mean,supp_per_class.Open_Surface_Water.std,supp_per_class.Partial_Surface_Water.mean,supp_per_class.Partial_Surface_Water.std,dswx_id,planet_id
0.7910379241516966,0.013693334224353603,0.9860678642714571,0.0048642800156648075,0.8042315369261478,0.013423188357197429,0.7917764471057883,0.013687999138827248,163.17,1.6880746309319268,0.0,0.0,3.15,1.6719612870681382,0.37,0.562372319964831,148.52,2.307125545528089,79.23,6.503852782013213,3.46,1.5981049383377157,18.48,2.307125545528089,84.62,6.386190910349796,0.9811509693755234,0.009808013764824201,0.6515524919561652,0.01862675554873807,0.7939640655145555,0.023718698907031037,0.9770658682634729,0.010108231322945664,0.8893413173652693,0.0138151230271143,0.5067065868263474,0.0382406641338311,0.9790575343801267,0.007315235574505099,0.7519266046730216,0.013880231491769411,0.6179661158241957,0.03264427501352643,167.0,0.0,167.0,0.0,167.0,0.0,OPERA_L3_DSWx_HLS_T32VMK_20210914T103629Z_20221026T050829Z_S2B_30_v0.0,20210914_103644_25_2413
0.6976447105788424,0.014808173246300526,0.9438522954091815,0.010000805026967138,0.7303592814371256,0.015327939910369999,0.7210778443113771,0.013566151837303751,149.6,3.6817870057290865,0.0,0.0,10.73,3.2125228451021215,11.74,3.2054877187647306,149.01,3.400816895329056,105.36,5.698697352479031,5.66,2.252809693505316,17.99,3.400816895329055,50.91,5.552495116630182,0.933392526356612,0.018827222077632814,0.5601833730077775,0.01534828581633894,0.6833352693388417,0.04389677844806543,0.8958083832335331,0.02204662877682088,0.8922754491017963,0.020364173025922493,0.3048502994011976,0.03324847375227654,0.9140138736088683,0.015523726553332548,0.6881685722290493,0.015708191340351813,0.4207866438739323,0.03656369008358455,167.0,0.0,167.0,0.0,167.0,0.0,OPERA_L3_DSWx_HLS_T12VWP_20211021T185429Z_20221026T063646Z_S2B_30_v0.0,20211022_175213_55_2440
0.734977973568282,0.0060129016765000385,0.7624669603524231,0.001871101180551365,0.9707929515418501,0.006115854028954463,0.7366960352422908,0.00546233257233885,166.74,0.4845074558223792,0.58,0.6843119378491276,107.0,0.0,0.2,0.4494665749754947,158.94,2.7296353402806557,5.0,0.0,0.06,0.23868325657594203,7.48,2.5325357596167075,8.0,0.0,0.6078327689810081,0.001682969840993211,0.9683171699293858,0.002703717977331503,0.5270649702221918,0.07939220284207751,0.998443113772455,0.002901242250433423,0.9517365269461077,0.016345121798087763,0.06666666666666665,1.3947701538996772e-17,0.7556424971294616,0.0018253391081707064,0.9598878395258899,0.008757593315922286,0.1180849132520059,0.0021306162374775182,167.0,0.0,167.0,0.0,120.0,0.0,OPERA_L3_DSWx_HLS_T47ULQ_20210911T043701Z_20221026T043506Z_S2A_30_v0.0,20210912_034049_22_2421
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,500.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,OPERA_L3_DSWx_HLS_T20LQJ_20210929T140406Z_20221026T071054Z_L8_30_v0.0,20210928_141837_16_2407
0.9185661764705886,0.0014190885921186445,0.9185661764705886,0.0014190885921186445,1.0,0.0,0.9185661764705886,0.0014190885921186445,249.85,0.38599209705627263,,,22.0,0.0,,,,,,,1.0714285714285714,0.26726124191242434,,,0.0,0.0,0.9190728561207182,0.00011530995701529017,0.0,0.0,0.0,0.0,0.9994,0.0015439683882250918,0.0,0.0,0.0,0.0,0.9575542872788223,0.0007724648096387044,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,22.0,0.0,OPERA_L3_DSWx_HLS_T38TMT_20210930T075442Z_20221026T070126Z_L8_30_v0.0,20210930_070548_00_2442
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,500.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,OPERA_L3_DSWx_HLS_T33PXK_20211012T090921Z_20221026T045854Z_S2A_30_v0.0,20211012_083209_57_245c
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,500.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,OPERA_L3_DSWx_HLS_T29PQS_20210927T104719Z_20221026T051824Z_S2B_30_v0.0,20210927_105543_66_2424
0.7461263157894735,0.001641538090957851,0.9713894736842105,0.0016415380909578514,0.7747368421052633,1.1158161231197418e-16,0.7461263157894735,0.001641538090957851,166.41,0.7797305932049851,0.0,0.0,13.0,0.0,0.0,0.0,86.0,0.0,37.0,0.0,0.59,0.7797305932049852,70.0,0.0,102.0,0.0,0.9275389093218744,0.0003164538008655589,0.6991869918699188,1.1158161231197418e-16,0.5910078852168409,0.002656878588831819,0.9964670658682633,0.00466904546829333,0.5512820512820512,1.1158161231197418e-16,0.6710526315789471,2.2316322462394835e-16,0.9607638052324802,0.0023450662096432635,0.6164874551971326,1.1158161231197418e-16,0.6284887468797189,0.0015057693326851038,167.0,0.0,156.0,0.0,152.0,0.0,OPERA_L3_DSWx_HLS_T14SQB_20211003T170141Z_20221026T063347Z_S2A_30_v0.0,20211003_161639_91_241d
0.6940111420612812,0.014591931827299317,0.9699721448467966,0.00841337606357745,0.720640668523677,0.013875680585566548,0.6974094707520893,0.01380410081171929,162.8,2.064612860229797,0.0,0.0,6.58,1.9497733616028716,1.22,1.168440210388416,25.0,0.0,99.07,4.706013775645547,2.98,1.6756123560289136,0.0,0.0,61.35,4.78713553878169,0.9612557632663681,0.011153035305707472,0.19985521183237842,0.008097174594996993,0.9542111488750671,0.025097061429098278,0.9748502994011977,0.01236295125886105,1.0,0.0,0.3673652694610778,0.02866548226815383,0.967946896478426,0.009013676607459312,0.33305735646792045,0.011205217032280295,0.5298074749621028,0.030275211173555028,167.0,0.0,25.0,0.0,167.0,0.0,OPERA_L3_DSWx_HLS_T17TNM_20210916T161829Z_20221026T054142Z_S2B_30_v0.0,20210917_152712_47_2457
0.8230210772833724,0.006067437174652011,0.9075644028103046,0.0017756150625070828,0.912271662763466,0.005949090534798821,0.8262060889929741,0.006221078908392237,166.89,0.3144660377352202,1.36,0.6893123494842633,38.0,0.0,0.0,0.0,131.54,2.5402616583590936,2.0,0.0,0.11,0.31446603773522014,34.1,2.6072935772520514,53.0,0.0,0.8091721546515493,0.0027259745715332217,0.9850178659277521,0.00028406735896778463,0.6082920343890775,0.01870574721053772,0.9993413173652695,0.0018830301660791773,0.7876646706586825,0.01521114765484487,0.5698924731182797,1.1158161231197418e-16,0.8942554262083404,0.0019002828933558165,0.8752782778925172,0.009490682399232087,0.5883296793397829,0.008706349389818381,167.0,0.0,167.0,0.0,93.0,0.0,OPERA_L3_DSWx_HLS_T19HCT_20211027T142729Z_20221026T053620Z_S2B_30_v0.0,20211028_144231_39_227b
